what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1287614735210
started,bundle,org.eclipse.wst.validation,1.2.104.v200911120201,"org.eclipse.wst.validation",1287614735237
started,bundle,org.eclipse.wst.web,1.1.301.v200911302230,"org.eclipse.wst.web",1287614735274
started,bundle,org.eclipse.wst.xml.core,1.1.402.v201001222130,"org.eclipse.wst.xml.core",1287614735316
started,bundle,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.adt",1287614735316
started,bundle,com.android.ide.eclipse.ddms,0.9.7.v201005071157-36220,"com.android.ide.eclipse.ddms",1287614735316
os,sysinfo,,,"macosx",1287614735323
arch,sysinfo,,,"x86_64",1287614735323
ws,sysinfo,,,"cocoa",1287614735323
locale,sysinfo,,,"en_US",1287614735323
processors,sysinfo,,,"2",1287614735324
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1287614735324
java.runtime.version,sysinfo,,,"1.6.0_20-b02-279-10M3065",1287614735324
java.specification.name,sysinfo,,,"Java Platform API Specification",1287614735324
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1287614735324
java.specification.version,sysinfo,,,"1.6",1287614735324
java.vendor,sysinfo,,,"Apple Inc.",1287614735324
java.version,sysinfo,,,"1.6.0_20",1287614735324
java.vm.info,sysinfo,,,"mixed mode",1287614735324
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1287614735324
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1287614735324
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1287614735324
java.vm.specification.version,sysinfo,,,"1.0",1287614735324
java.vm.vendor,sysinfo,,,"Apple Inc.",1287614735324
java.vm.version,sysinfo,,,"16.3-b01-279",1287614735324
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1287614735837
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1287614736028
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1287614736139
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1287614736451
started,bundle,org.eclipse.epp.usagedata.ui,1.1.1.R201001291118,"org.eclipse.epp.usagedata.ui",1287614736544
started,bundle,org.eclipse.mylyn.commons.net,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.net",1287614736689
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1287614736788
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1287614737254
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1287614738524
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1287614738648
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1287614738739
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1287614739691
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1287614739830
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1287614740763
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1287614740913
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1287614741639
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1287614741649
